Abrangência;Localidade;Localidade;Casos Confirmados - Acumulado;Casos Confirmados - Novos;Casos Confirmados - Incremento;Casos Confirmados - Incidência*;Casos Confirmados - Em acompanhamento;Casos Confirmados - Recuperados;Óbitos Confirmados - Acumulado;Óbitos Confirmados - Novos;Óbitos Confirmados - Incremento;Óbitos Confirmados - Mortalidade*;Óbitos Confirmados - Letalidade
Município;171395;Muricilândia;545;0;0;15347.79;0;0;2;0;0;56.32;0.37
Município;171420;Natividade;1161;6;0.52;12559.5;0;0;22;0;0;237.99;1.89
Município;171430;Nazaré;498;0;0;12775.78;0;0;7;0;0;179.58;1.41
Município;171488;Nova Olinda;1048;5;0.48;8867.08;0;0;40;0;0;338.44;3.82
Município;171500;Nova Rosalândia;436;0;0;10234.74;0;0;11;0;0;258.22;2.52
Município;171510;Novo Acordo;268;0;0;6172.27;0;0;3;0;0;69.09;1.12
Município;171515;Novo Alegre;93;0;0;3987.99;0;0;3;0;0;128.64;3.23
Município;171525;Novo Jardim;234;0;0;8596.62;0;0;2;0;0;73.48;0.85
Município;171550;Oliveira de Fátima;116;0;0;10431.65;0;0;1;0;0;89.93;0.86
Município;172100;Palmas;45437;99;0.22;15189.87;0;0;582;1;0.17;194.57;1.28
Município;171570;Palmeirante;495;0;0;8214.4;0;0;8;0;0;132.76;1.62
Município;171380;Palmeiras do Tocantins;584;3;0.52;8771.4;0;0;6;0;0;90.12;1.03
Município;171575;Palmeirópolis;1113;0;0;14531.92;0;0;22;0;0;287.24;1.98
Município;171610;Paraíso do Tocantins;7585;7;0.09;14799.42;0;0;166;0;0;323.89;2.19
Município;171620;Paranã;427;1;0.23;4086.52;0;0;6;0;0;57.42;1.41
Município;171630;Pau D'Arco;389;13;3.46;8022.27;0;0;7;0;0;144.36;1.8
Município;171650;Pedro Afonso;1938;13;0.68;14273.09;0;0;28;0;0;206.22;1.44
Município;171660;Peixe;917;2;0.22;7804.92;0;0;19;1;5.56;161.72;2.07
Município;171665;Pequizeiro;535;3;0.56;9768.12;0;0;9;0;0;164.32;1.68
Município;171700;Pindorama do Tocantins;297;2;0.68;6678.66;0;0;3;0;0;67.46;1.01
Município;171720;Piraquê;217;2;0.93;7166.45;0;0;1;0;0;33.03;0.46
Município;171750;Pium;532;0;0;6950.61;0;0;6;0;0;78.39;1.13
Município;171780;Ponte Alta do Bom Jesus;362;0;0;7876.41;0;0;6;0;0;130.55;1.66
Município;171790;Ponte Alta do Tocantins;971;5;0.52;12078.62;0;0;13;0;0;161.71;1.34
Município;171800;Porto Alegre do Tocantins;133;0;0;4237.02;0;0;2;0;0;63.71;1.5
